Game,MS_Store_Link,ProductID,System,xCloud,Status,Added,Removed,Months,Release,Age,Metacritic,Completion,Genre,Series X|S,Owner Notes,ESRB,ESRB Content Descriptors,Community Notes,Status.1,Added.1,Delay
Need for Speed: Payback - Deluxe Edition,https://www.xbox.com/en-us/games/store/Need-for-Speed-Payback-Deluxe-Edition/BQSC9GDBDF0V,BQSC9GDBDF0V,Xbox / PC,,Active,Nov 2020,,61.3,Nov 2017,3.0,61,19.0,Driving/Racing,,Enhanced edition only on PC,T,"Mild Violence, Mild Suggestive Themes, Language",,Active,Sep 2024,46.07
Need for Speed: Rivals - Complete Edition,https://www.xbox.com/en-us/games/store/Need-for-Speed-Rivals/C3VM0TMWNZ5M,C3VM0TMWNZ5M,Xbox / PC,,Active,Nov 2020,,61.3,Nov 2013,6.99,75,13.0,Driving/Racing,,Enhanced edition only on PC,E10+,Mild Violence,,Active,Sep 2024,46.07
Peggle,https://www.xbox.com/en-us/games/store/Peggle/BSCCQL7DZ9KD,BSCCQL7DZ9KD,Xbox / PC,,Active,Nov 2020,,61.3,Apr 2007,13.58,89,4.0,Puzzle / Block-Breaking,,,E,,Xbox 360,Active,Sep 2024,46.07
Peggle,https://www.xbox.com/en-us/games/store/Peggle/BSCCQL7DZ9KD,BSCCQL7DZ9KD,Xbox / PC,,Active,Nov 2020,,61.3,Apr 2007,13.58,89,4.0,Puzzle / Block-Breaking,,,E,,Xbox 360,Active,Sep 2024,46.07
Peggle 2,https://www.xbox.com/en-us/games/store/Peggle-2/BNCZHKWRZ7BR,BNCZHKWRZ7BR,Xbox,Touch Controls,Active,Nov 2020,,61.3,Sep 2013,7.16,89,6.0,Puzzle,,,E,Comic Mischief,,Active,Sep 2024,46.07
Plants vs. Zombies: Game of the Year Edition,https://www.xbox.com/en-us/games/store/plants-vs-zombies-game-of-the-year-edition/9mtnpx4wlp10,9mtnpx4wlp10,Xbox / PC,,Active,Nov 2020,,61.3,May 2009,11.51,89,8.0,Strategy / Puzzle,,Enhanced edition only on PC,E10+,"Animated Blood, Cartoon Violence",Xbox 360,Active,Sep 2024,46.07
Plants vs. Zombies: Battle for Neighborville - Deluxe Edition,https://www.xbox.com/en-us/games/store/Plants-vs-Zombies-Battle-for-Neighborville-Deluxe-Edition/C4RR6ST0P1X7,C4RR6ST0P1X7,Xbox / PC,Yes,Active,Nov 2020,,61.3,Oct 2019,1.06,76,5.0,Shooter,FPS Boost,Enhanced edition only on PC,E10+,"Fantasy Violence, Comic Mischief",,Active,Sep 2024,46.07
Plants vs. Zombies: Garden Warfare,https://www.xbox.com/en-us/games/store/plants-vs-zombies-garden-warfare/9N0X5NFZTQJK,9N0X5NFZTQJK,Xbox / PC,Yes,Active,Nov 2020,,61.3,Feb 2014,6.73,76,68.0,Shooter,FPS Boost,Added to cloud 4/7/22,E10+,"Fantasy Violence, Crude Humor, Animated Blood",,Active,Sep 2024,46.07
Plants vs. Zombies: Garden Warfare 2 - Deluxe Edition,https://www.xbox.com/en-us/games/store/Plants-vs-Zombies-Garden-Warfare-2-Deluxe-Edition/BWNN9M15W9V9,BWNN9M15W9V9,Xbox / PC,Yes,Active,Nov 2020,,61.3,Feb 2016,4.71,80,13.0,Action,FPS Boost,Enhanced edition only on PC,E10+,"Fantasy Violence, Crude Humor, Animated Blood",,Active,Sep 2024,46.07
Sea of Solitude,https://www.xbox.com/en-us/games/store/Sea-of-Solitude/C4060P46HH4D,C4060P46HH4D,Xbox / PC,,Active,Nov 2020,,61.3,Jul 2019,1.35,72,3.0,Adventure,FPS Boost,,T,"Fantasy Violence, Language",,TBD,,61.3
Skate 3,https://www.xbox.com/en-us/games/store/Skate-3/BNKDKQXMXRR2,BNKDKQXMXRR2,Xbox,Yes,Active,Nov 2020,,61.3,May 2010,10.5,80,9.0,Skateboarding,,,T,"Crude Humor, Drug Reference, Language, Mild Violence, Suggestive Themes",Xbox 360,Active,Sep 2024,46.07
SSX,https://www.xbox.com/en-us/games/store/SSX/BWK0Q0RQMH7V,BWK0Q0RQMH7V,Xbox,,Active,Nov 2020,,61.3,Feb 2012,8.7,82,12.0,Sports / Snowboarding/Skiing,,,E,"Mild Lyrics, Mild Violence",Xbox 360,Active,Sep 2024,46.07
SSX,https://www.xbox.com/en-us/games/store/SSX/BWK0Q0RQMH7V,BWK0Q0RQMH7V,Xbox,,Active,Nov 2020,,61.3,Feb 2012,8.7,82,12.0,Sports / Snowboarding/Skiing,,,E,"Mild Lyrics, Mild Violence",Xbox 360,Active,Sep 2024,46.07
Star Wars Battlefront: Ultimate Edition,https://www.xbox.com/en-us/games/store/STAR-WARS-Battlefront-Ultimate-Edition/C5B4KP2NSCLB,C5B4KP2NSCLB,Xbox / PC,,Active,Nov 2020,,61.3,Nov 2015,4.98,75,15.0,Action / Shooter,FPS Boost,Enhanced edition only on PC,T,Violence,,Active,Sep 2024,46.07
Star Wars Battlefront II: Celebration Edition,https://www.xbox.com/en-us/games/store/star-wars-battlefront-ii-celebration-edition/9MXJZGJC7BJC,9MXJZGJC7BJC,Xbox / PC,Yes,Active,Nov 2020,,61.3,Nov 2017,2.98,66,6.0,Action / First-Person Shooter,FPS Boost X Only,Enhanced edition only on PC,T,Violence,Does not FPS boost on Series S,Active,Sep 2024,46.07
Star Wars Jedi: Fallen Order,https://www.xbox.com/en-us/games/store/STAR-WARS-Jedi-Fallen-Order/C2CSDTSCBZ0C,C2CSDTSCBZ0C,Xbox / PC,Yes,Active,Nov 2020,,61.3,Nov 2019,0.99,81,24.0,Action-Adventure,Optimized,,T,"Mild Language, Violence",,Active,Sep 2024,46.07
Unravel,https://www.xbox.com/en-us/games/store/Unravel/C11KKHB5H7QJ,C11KKHB5H7QJ,Xbox / PC,,Active,Nov 2020,,61.3,Feb 2016,4.75,75,6.0,Puzzle / Platformer,,,E,Mild Fantasy Violence,,Active,Sep 2024,46.07
Unravel Two,https://www.xbox.com/en-us/games/store/unravel-two/9n1t3zcmnhgg,9n1t3zcmnhgg,Xbox / PC,Yes,Active,Nov 2020,,61.3,Jun 2018,2.42,81,5.0,Puzzle / Platformer,FPS Boost,,E,Mild Fantasy Violence,,Active,Sep 2024,46.07
Zuma,https://www.xbox.com/en-us/games/store/Zuma/C4SG06H48738,C4SG06H48738,Xbox,,Active,Nov 2020,,61.3,Dec 2003,16.91,78,5.0,Puzzle,,,E,,Xbox 360,Active,Sep 2024,46.07
Deep Rock Galactic,https://www.xbox.com/en-us/games/store/Deep-Rock-Galactic/9NHFVWX1V7QJ,9NHFVWX1V7QJ,Xbox / PC,M+KB,Active,Nov 2020,,61.47,May 2020,0.48,84,119.0,First-Person Shooter,,Game Pass Essential (4/23/24),T,,,Active,Sep 2024,46.23
Day of the Tentacle Remastered,https://www.xbox.com/en-us/games/store/Day-of-the-Tentacle-Remastered/9NKK6CX54183,9NKK6CX54183,Xbox / PC,,Active,Oct 2020,,61.67,Mar 2016,4.6,84,5.0,Adventure,,,T,"Fantasy Violence, Suggestive Themes, Use of Tobacco",,Active,Sep 2024,46.43
Full Throttle Remastered,https://www.xbox.com/en-us/games/store/Full-Throttle-Remastered/9P3ZRGNQVC7D,9P3ZRGNQVC7D,Xbox / PC,,Active,Oct 2020,,61.67,Apr 2017,3.53,76,4.0,Adventure,,,T,"Violence, Blood, Mild Language, Use of Alcohol and Tobacco",,Active,Sep 2024,46.43
Grim Fandango Remastered,https://www.xbox.com/en-us/games/store/Grim-Fandango-Remastered/9PC288TN7R8K,9PC288TN7R8K,Xbox / PC,,Active,Oct 2020,,61.67,Jan 2015,5.76,80,11.0,Adventure,,,T,"Crude Humor, Fantasy Violence, Mild Language, Mild Suggestive Themes, Use of Alcohol and Tobacco",,Active,Sep 2024,46.43
Tom Clancy's Rainbow Six: Siege - Deluxe Edition,https://www.xbox.com/en-us/games/store/tom-clancys-rainbow-six-siege-x/C12T09DSVP8J,C12T09DSVP8J,Xbox / PC,Yes,Active,Oct 2020,,61.9,Dec 2015,4.89,74,8.0,First-Person Shooter,Optimized,"Ubisoft Connect launcher, joined PC 1/20/21",M,"Blood, Drug Reference, Strong Language, Violence",,Active,Sep 2024,46.67
Brütal Legend,https://www.xbox.com/en-us/games/store/Brutal-Legend/C5DZFZ6NC5SQ,C5DZFZ6NC5SQ,Xbox,,Active,Oct 2020,,62.37,Oct 2009,10.99,82,9.0,Real-Time Strategy / Action-Adventure,,,M,"Blood and Gore, Intense Violence, Partial Nudity, Strong Language, Suggestive Themes",Xbox 360,Active,Sep 2024,47.13
Crusader Kings III,https://www.xbox.com/en-us/games/store/Crusader-Kings-III/9N7GG222GTTH,9N7GG222GTTH,Xbox / PC,Yes,Active,Sep 2020,,63.6,Sep 2020,0.0,91,13.0,Strategy,Exclusive,Joined Xbox 3/29/22,M,"Violence, Blood, Sexual Themes, Partial Nudity, Use of Drugs, Language",,Active,Sep 2024,48.37
Wasteland 3,https://www.xbox.com/en-us/games/store/Wasteland-3/BQ9T0JF0D3L4,BQ9T0JF0D3L4,Xbox / PC,Touch Controls,Active,Aug 2020,,63.7,Aug 2020,0.0,86,37.0,RPG,FPS Boost,,M,"Blood and Gore, Sexual Content, Use of Drugs, Strong Language, Intense Violence",,Active,Sep 2024,48.47
Tell Me Why,https://www.xbox.com/en-us/games/store/Tell-Me-Why/9NBL0XKVCN5L,9NBL0XKVCN5L,Xbox / PC,Touch Controls,Active,Aug 2020,,63.73,Aug 2020,0.0,80,9.0,Adventure,,,M,"Mild Blood, Drug Reference, Strong Language, Violence",,Active,Sep 2024,48.5
Battletoads,https://www.xbox.com/en-us/games/store/Battletoads/9N7GCF5SGCXC,9N7GCF5SGCXC,Xbox / PC,Yes,Active,Aug 2020,,63.97,Aug 2020,0.0,73,4.0,Brawler,,,E10+,"Crude Humor, Mild Language, Animated Blood, Cartoon Violence",,Active,Sep 2024,48.73
New Super Lucky's Tale,https://www.xbox.com/en-us/games/store/New-Super-Luckys-Tale/9MZN3SMXN824,9MZN3SMXN824,Xbox / PC,Touch Controls,Active,Aug 2020,,63.97,Nov 2019,0.78,76,8.0,Platformer,FPS Boost,,E,Mild Cartoon Violence,,Active,Sep 2024,48.73
Microsoft Flight Simulator (2020): Game of the Year Edition,https://www.xbox.com/en-us/games/store/microsoft-flight-simulator-2020/9NRRJLLXM68V,9NRRJLLXM68V,Xbox / PC,Yes,Active,Aug 2020,,64.03,Aug 2020,0.0,92,42.0,Simulation / Flight Simulator,"Exclusive, Optimized","Joining Xbox Series X|S on 7/27/21, PC 3/1/22",E,,,Active,Sep 2024,48.8
Trailmakers,https://www.xbox.com/en-us/games/store/Trailmakers/9NSFGM8J6MBJ,9NSFGM8J6MBJ,Xbox / PC,Yes,Active,Aug 2020,,64.43,Sep 2019,0.88,70,12.0,Driving/Racing,,,E10+,Fantasy Violence,,Active,Sep 2024,49.2
Halo 3,https://www.xbox.com/en-us/games/store/Halo-3/BSXZVK24CMR3,BSXZVK24CMR3,Xbox / PC,,Active,Jul 2020,,65.17,Sep 2007,12.8,88,9.0,First-Person Shooter,,,M,"Blood and Gore, Violence, Language",Xbox 360,Active,Sep 2024,49.93
Halo 3,https://www.xbox.com/en-us/games/store/Halo-3/BSXZVK24CMR3,BSXZVK24CMR3,Xbox / PC,,Active,Jul 2020,,65.17,Sep 2007,12.8,88,9.0,First-Person Shooter,,,M,"Blood and Gore, Violence, Language",Xbox 360,Active,Sep 2024,49.93
Neon Abyss,https://www.xbox.com/en-us/games/store/Neon-Abyss/9PLWSGHFQ4PS,9PLWSGHFQ4PS,Xbox / PC,Yes,Active,Jul 2020,,65.17,Jul 2020,0.0,77,12.0,Action / Platformer,,,T,"Blood and Gore, Simulated Gambling, Violence, Comic Mischief",,Active,Sep 2024,49.93
Fallout 76,https://www.xbox.com/en-us/games/store/fallout-76-gleaming-depths-deluxe-edition/9pbnr4x5h3c8,9pbnr4x5h3c8,Xbox / PC,Yes,Active,Jul 2020,,65.33,Nov 2018,1.65,68,30.0,Sci-Fi / Alternate Historical / Post-Apocalyptic,FPS Boost,"Game Pass Essential launch title (9/14/23), Official PC Mod Support",M,"Use of Alcohol, Blood and Gore, Suggestive Themes, Drug Reference, Strong Language, Intense Violence",,Active,Sep 2024,50.1
The Bard's Tale ARPG: Remastered and Resnarkled,https://www.xbox.com/en-us/games/store/The-Bards-Tale-ARPG-Remastered-and-Resnarkled/9PN3VDFTB5HZ,9PN3VDFTB5HZ,Xbox / PC,Touch Controls,Active,Jun 2020,,66.03,Jun 2020,0.0,90,14.0,RPG,,,T,"Blood, Mild Language, Suggestive Themes, Use of Alcohol, Violence",,Active,Sep 2024,50.8
BattleTech,https://www.xbox.com/en-us/games/store/BATTLETECH/9NQVDQS2BC10,9NQVDQS2BC10,PC,,Active,Jun 2020,,66.27,Apr 2018,2.13,78,54.0,Strategy / RPG,,,T,"Violence, Use of Alcohol And Tobacco, Language",,Active,Oct 2025,63.67
Minecraft: Dungeons,https://www.xbox.com/en-us/games/store/minecraft-dungeons-for-windows-launcher/9nb6bvl3mtg4,9nb6bvl3mtg4,Xbox / PC,Touch Controls,Active,May 2020,,66.77,May 2020,0.0,73,5.0,RPG / Action-Adventure,Optimized,,E10+,Fantasy Violence,,Active,Sep 2024,51.53
Halo 2: Anniversary,https://www.xbox.com/en-us/games/store/Halo-2-Anniversary/9P5739G419LD,9P5739G419LD,Xbox / PC,,Active,May 2020,,67.23,Nov 2004,15.51,71,8.0,First-Person Shooter,,,M,"Blood and Gore, Violence, Language",,Active,Sep 2024,52.0
DayZ,https://www.xbox.com/en-us/games/store/DayZ/BSR9NLHVF1KL,BSR9NLHVF1KL,Xbox,Yes,Active,May 2020,,67.4,Dec 2013,6.4,56,66.0,RPG / Simulation / First-Person Shooter,,Game Pass Essential (12/4/24),M,"Blood, Strong Language, Violence",,Active,Sep 2024,52.17
MechWarrior 5: Mercenaries,https://www.xbox.com/en-us/games/store/MechWarrior-5-Mercenaries/9PB86W3JK8Z5,9PB86W3JK8Z5,Xbox / PC,Yes,Active,May 2020,,67.4,Dec 2019,0.41,74,47.0,Action / Simulation / Shooter,,,T,"Language, Mild Blood, Violence",,Active,Sep 2024,52.17
Totally Reliable Delivery Service,https://www.xbox.com/en-us/games/store/Totally-Reliable-Delivery-Service/9NZG72SH3H4W,9NZG72SH3H4W,Xbox / PC,Yes,Active,Apr 2020,,68.6,Apr 2020,0.0,60,1.0,Action / Simulation,FPS Boost,"Game Pass Essential (12/6/23), Joined PC 12/1/22",E10+,"Crude Humor, Mild Fantasy Violence",,Active,Sep 2024,53.37
Bleeding Edge,https://www.xbox.com/en-us/games/store/Bleeding-Edge/9NX6XGVJ0J3D,9NX6XGVJ0J3D,Xbox / PC,Yes,Active,Mar 2020,,68.83,Mar 2020,0.0,70,7.0,Action,,,T,"Blood, Violence",,Active,Sep 2024,53.6
Halo: Combat Evolved - Anniversary,https://www.xbox.com/en-us/games/store/halo-combat-evolved-anniversary/c1xfhqsgwgd1,c1xfhqsgwgd1,Xbox / PC,,Active,Mar 2020,,69.53,Nov 2001,18.3,79,10.0,First-Person Shooter,,,M,"Blood and Gore, Violence, Language",,Active,Sep 2024,54.3
Wasteland Remastered,https://www.xbox.com/en-us/games/store/Wasteland-Remastered/9NGH1FK0RJGL,9NGH1FK0RJGL,Xbox / PC,Touch Controls,Active,Feb 2020,,69.8,Feb 2020,0.0,60,19.0,Strategy / RPG,,,T,"Violence, Blood, Sexual Content, Use of Alcohol, Simulated Gambling",,Active,Sep 2024,54.57
Wolfenstein: Youngblood,https://www.xbox.com/en-us/games/store/Wolfenstein-Youngblood/C421ZX7RCG0W,C421ZX7RCG0W,Xbox / PC,Yes,Active,Feb 2020,,70.43,Jul 2019,0.53,68,9.0,First-Person Shooter,,,M,"Blood and Gore, Strong Language, Intense Violence",,Active,Sep 2024,55.2
Frostpunk,https://www.xbox.com/en-us/games/store/Frostpunk-Console-Edition/9NP539LHJD8S,9NP539LHJD8S,Xbox / PC,Touch Controls,Active,Jan 2020,,71.33,Apr 2018,1.71,84,10.0,Simulation,,,M,"Mild Violence, Blood, Mild Sexual Themes, Strong Language",,Active,Sep 2024,56.1
Phoenix Point,https://www.xbox.com/en-us/games/store/Phoenix-Point/9P1P5Q3BNM7J,9P1P5Q3BNM7J,Xbox / PC,Touch Controls,Active,Dec 2019,,71.97,Dec 2019,0.05,74,32.0,Strategy,,Joined console 10/1/21,T,"Blood, Violence, Language",,Active,Sep 2024,56.73
Totally Accurate Battle Simulator,https://www.xbox.com/en-us/games/store/Totally-Accurate-Battle-Simulator/9PC4RWP34M2D,9PC4RWP34M2D,Xbox / PC,Touch Controls,Active,Dec 2019,,71.97,Apr 2019,0.72,76,5.0,Strategy / Simulation,,,T,Violence,,Active,Sep 2024,56.73
Pillars of Eternity: Definitive Edition,https://www.xbox.com/en-us/games/store/Pillars-of-Eternity-Definitive-Edition/9N1P6T7ZQ2KF,9N1P6T7ZQ2KF,Xbox / PC,Touch Controls,Active,Dec 2019,,72.0,Mar 2015,4.73,86,36.0,RPG,,Upgraded from complete to definitive edition on 12/13/23,M,"Blood, Sexual Themes, Strong Language, Violence",,Active,Sep 2024,56.77
Overcooked! 2,https://www.xbox.com/en-us/games/store/Overcooked-2/BVJLKDG2TX8H,BVJLKDG2TX8H,Xbox / PC,Touch Controls,Active,Dec 2019,,72.23,Aug 2018,1.35,83,7.0,Simulation,FPS Boost,Game Pass Essential launch title (9/14/23),E,,,Active,Sep 2024,57.0
Age of Empires II: Definitive Edition,https://www.xbox.com/en-us/games/store/Age-of-Empires-II-Definitive-Edition/9NJDD0JGPP2Q,9NJDD0JGPP2Q,Xbox / PC,,Active,Nov 2019,,73.17,Nov 2019,0.0,84,36.0,Strategy,,Joined console 1/31/23,T,"Mild Blood, Mild Language, Violence",,Active,Sep 2024,57.93
RAGE 2,https://www.xbox.com/en-us/games/store/RAGE-2/C2DCJ95ZXBMS,C2DCJ95ZXBMS,Xbox / PC,Yes,Active,Nov 2019,,73.17,May 2019,0.5,72,10.0,First-Person Shooter,,,M,"Blood and Gore, Suggestive Themes, Strong Language, Intense Violence",,Active,Sep 2024,57.93
The Outer Worlds,https://www.xbox.com/en-us/games/store/The-Outer-Worlds/9MWD2Z8L1FBQ,9MWD2Z8L1FBQ,Xbox / PC,Yes,Active,Oct 2019,,73.8,Oct 2019,0.0,85,12.0,RPG / First-Person Shooter,,,M,"Blood and Gore, Strong Language, Intense Violence",,Active,Sep 2024,58.57
Dishonored 2,https://www.xbox.com/en-us/games/store/Dishonored-2/BSZM480TSWGP,BSZM480TSWGP,Xbox / PC,Yes,Active,Oct 2019,,74.53,Nov 2016,2.89,88,13.0,Action-Adventure,,Game Pass Essential launch title (9/14/23),M,"Blood and Gore, Suggestive Themes, Strong Language, Intense Violence",,Active,Sep 2024,59.3
Dead Cells,https://www.xbox.com/en-us/games/store/Dead-Cells/BQSCNS1T8PHQ,BQSCNS1T8PHQ,Xbox / PC,Touch Controls,Active,Sep 2019,,75.47,May 2017,2.32,91,13.0,Platformer / Action-Adventure,,"Game Pass Essential launch title (9/14/23), Left EA Play 10/23/21",T,"Blood and Gore, Language, Violence",,Active,Sep 2024,60.23
The Bard's Tale IV: Director's Cut,https://www.xbox.com/en-us/games/store/The-Bards-Tale-IV-Directors-Cut/C2B4T86TXLRS,C2B4T86TXLRS,Xbox / PC,Touch Controls,Active,Aug 2019,,75.73,Sep 2018,0.94,70,60.0,RPG,,,T,"Use of Alcohol, Blood, Violence, Language",,Active,Sep 2024,60.5
Age of Empires: Definitive Edition,https://www.xbox.com/en-us/games/store/Age-of-Empires-Definitive-Edition/9NJWTJSVGVLJ,9NJWTJSVGVLJ,PC,,Active,Aug 2019,,76.0,Feb 2018,1.5,83,40.0,Strategy,,,T,"Blood, Mild Violence",,Active,Oct 2025,73.4
Stellaris,https://www.xbox.com/en-us/games/store/Stellaris/9NXQPGMR917R,9NXQPGMR917R,Xbox / PC,Yes,Active,Aug 2019,,76.0,May 2016,3.28,81,21.0,Strategy,Optimized,Game Pass Essential (12/3/25),E10+,"Violent References, Mild Language",,Active,Sep 2024,60.77
Slay the Spire,https://www.xbox.com/en-us/games/store/Slay-The-Spire/9P6W46XMDJM5,9P6W46XMDJM5,Xbox / PC,Touch Controls,Active,Aug 2019,,76.17,Nov 2017,1.75,88,11.0,Strategy / Card Game,,"Game Pass Essential launch title (9/14/23), Left EA Play 10/23/21",E10+,"Fantasy Violence, Mild Blood, Tobacco Reference",,Active,Sep 2024,60.93
The Bard's Tale Trilogy,https://www.xbox.com/en-us/games/store/The-Bards-Tale-Trilogy/9MVN4ND41DD3,9MVN4ND41DD3,Xbox / PC,Touch Controls,Active,Aug 2019,,76.2,Aug 2018,1.0,70,24.0,RPG,,,T,"Fantasy Violence, Use of Alcohol, Simulated Gambling",,Active,Sep 2024,60.97
Killer Instinct 2 Classic,https://www.xbox.com/en-us/games/store/Killer-Instinct-2-Classic/C2HDBXXNXT7R,C2HDBXXNXT7R,Xbox,,Active,Jul 2019,,76.8,Nov 2013,5.68,59,1.0,Fighting,,,M,"Blood and Gore, Suggestive Themes, Violence",,Active,Sep 2024,61.57
Killer Instinct Classic,https://www.xbox.com/en-us/games/store/Killer-Instinct-Classic/BX8FPDDRCLWT,BX8FPDDRCLWT,Xbox,,Active,Jul 2019,,76.8,Oct 1994,24.74,85,1.0,Fighting,,,M,"Blood and Gore, Suggestive Themes, Mild Crude Humor, Violence",,Active,Sep 2024,61.57
Killer Instinct (2013): Anniversary Edition,https://www.xbox.com/en-us/games/store/killer-instinct-anniversary-edition/9n04ns8tp202,9n04ns8tp202,Xbox / PC,Touch Controls,Active,Jul 2019,,76.8,Nov 2013,5.68,86,2.0,Fighting,,Anniversary Edition added 11/28/23,M,"Blood and Gore, Suggestive Themes, Violence, Mild Language, Mild Crude Humor",,Active,Sep 2024,61.57
Middle-earth: Shadow of War,https://www.xbox.com/en-us/games/store/Middle-earth-Shadow-of-War/9PDV8FKWP3B4,9PDV8FKWP3B4,Xbox / PC,Yes,Active,Jul 2019,,77.5,Oct 2017,1.73,81,21.0,Action / RPG / Action-Adventure,,,M,"Blood and Gore, Intense Violence",,Active,Sep 2024,62.27
Torment: Tides of Numenera,https://www.xbox.com/en-us/games/store/Torment-Tides-of-Numenera/BQND4NQXFFV2,BQND4NQXFFV2,Xbox / PC,Touch Controls,Active,Jun 2019,,77.73,Feb 2017,2.33,81,26.0,RPG,,"Joined Xbox and cloud 7/21/22, originally only on PC",M,"Blood, Sexual Themes, Violence, Language",,Active,Sep 2024,62.5
Perfect Dark,https://www.xbox.com/en-us/games/store/Perfect-Dark/C0SWGV4560W1,C0SWGV4560W1,Xbox,Yes,Active,Jun 2019,,77.97,Aug 2000,18.81,79,9.0,Action / Shooter,,,M,"Blood, Violence",,Active,Sep 2024,62.73
Rare Replay,https://www.xbox.com/en-us/games/store/Rare-Replay/C22T53SQ7FLM,C22T53SQ7FLM,Xbox,,Active,Jun 2019,,77.97,Aug 2015,3.88,84,44.0,Compilation,,,M,"Violence, Blood, Language, Use of Alcohol, Use of Tobacco",,Active,Sep 2024,62.73
ASTRONEER,https://www.xbox.com/en-us/games/store/ASTRONEER/9NBLGGH43KZB,9NBLGGH43KZB,Xbox / PC,Yes,Active,Jun 2019,,78.33,Dec 2016,2.48,72,19.0,Adventure,,Game Pass Essential launch title (9/14/23),E,Mild Fantasy Violence,,Active,Sep 2024,63.1
Batman: Arkham Knight,https://www.xbox.com/en-us/games/store/Batman-Arkham-Knight/BSLX1RNXR6H7,BSLX1RNXR6H7,Xbox,Yes,Active,Jun 2019,,78.33,Jun 2015,3.96,85,17.0,Action-Adventure,,Game Pass Essential (3/26/25),M,"Blood, Suggestive Themes, Violence, Language",,Active,Sep 2024,63.1
Halo: Spartan Strike,https://www.xbox.com/en-us/games/store/Halo-Spartan-Strike/9WZDNCRFJBFJ,9WZDNCRFJBFJ,PC,,Active,Jun 2019,,78.33,Apr 2015,4.15,66,6.0,Action / Dual-Joystick Shooter,,,E10+,"Fantasy Violence, Mild Blood",,Active,Oct 2025,75.73
Hollow Knight: Voidheart Edition,https://www.xbox.com/en-us/games/store/Hollow-Knight-Voidheart-Edition/9MW9469V91LM,9MW9469V91LM,Xbox / PC,Yes,Active,Jun 2019,,78.33,Feb 2017,2.29, $ 89.00 ,25.0,Platformer / Action-Adventure,FPS Boost,,E10+,"Fantasy Violence, Mild Blood",,Active,Sep 2024,63.1
Moonlighter,https://www.xbox.com/en-us/games/store/Moonlighter/9P8XJRLCLH2P,9P8XJRLCLH2P,Xbox / PC,Yes,Active,Jun 2019,,78.33,May 2018,1.03,84,14.0,Action / RPG,,Left EA Play 10/23/21,E10+,Fantasy Violence,,Active,Sep 2024,63.1
Rise of Nations: Extended Edition,https://www.xbox.com/en-us/games/store/rise-of-nations-extended-edition/9ns84hcwzd8b,9ns84hcwzd8b,PC,,Active,Jun 2019,,78.33,May 2003,16.05,89,18.0,Strategy / Real-Time Strategy / Trivia/Board Game,,,T,"Blood and Gore, Violence",,Active,Oct 2025,75.73
Dead by Daylight: Special Edition,https://www.xbox.com/en-us/games/store/Dead-by-Daylight/C0N22P73QZ60,C0N22P73QZ60,Xbox / PC,Yes,Active,May 2019,,78.63,Jun 2016,2.96,58,608.0,Action,Optimized,,M,"Blood and Gore, Strong Language, Intense Violence",,Active,Sep 2024,63.4
Descenders,https://www.xbox.com/en-us/games/store/Descenders/C37XBX7DCBZ0,C37XBX7DCBZ0,Xbox / PC,Yes,Active,May 2019,,79.4,Feb 2018,1.24,77,4.0,Sports / Driving/Racing,Optimized,Game Pass Essential launch title (9/14/23),E,,,Active,Sep 2024,64.17
Wolfenstein II: The New Colossus,https://www.xbox.com/en-us/games/store/Wolfenstein-II-The-New-Colossus/C4LLMHFQ1BXQ,C4LLMHFQ1BXQ,Xbox / PC,Yes,Active,May 2019,,79.57,Oct 2017,1.51,88,11.0,First-Person Shooter,,,M,"Blood and Gore, Sexual Content, Partial Nudity, Use of Drugs, Strong Language, Intense Violence",,Active,Sep 2024,64.33
The Walking Dead: A New Frontier,https://www.xbox.com/en-us/games/store/the-walking-dead-a-new-frontier/9nblggh4vxpm,9nblggh4vxpm,Xbox / PC,Touch Controls,Active,Apr 2019,,80.03,Dec 2016,2.33,73,8.0,Adventure,,"Joined PC 11/1/22, left 9/30/24",M,"Violence, Blood, Use of Drugs, Strong Language",,Active,Sep 2024,64.8
Prey,https://www.xbox.com/en-us/games/store/Prey/BQMVWCMB8P59,BQMVWCMB8P59,Xbox / PC,Yes,Active,Apr 2019,,80.27,May 2017,1.93,83,16.0,First-Person Shooter / Action-Adventure,FPS Boost,,M,"Use of Alcohol, Blood, Violence, Language",,Active,Sep 2024,65.03
Minecraft,https://www.xbox.com/en-us/games/store/xbox-game-pass-ultimate/cfq7ttc0khs0?icid=CNavAllXboxGamePassUltimate,cfq7ttc0khs0,Xbox / PC,,Active,Apr 2019,,80.5,Nov 2011,7.38,88,116.0,Action-Adventure,,Joined PC 11/2/21 (Java and Bedrock Editions),E10+,Fantasy Violence,,Active,Sep 2024,65.27
Fallout 4,https://www.xbox.com/en-us/games/store/Fallout-4/C3KLDKZBHNCZ,C3KLDKZBHNCZ,Xbox / PC,Yes,Active,Mar 2019,,81.17,Nov 2015,3.34,88,27.0,RPG / Shooter,FPS Boost,"Game Pass Essential launch title (9/14/23), Official PC Mod Support",M,"Blood and Gore, Use of Drugs, Strong Language, Intense Violence",,Active,Sep 2024,65.93
